code_type,code,canonical_icao,name
IATA,YXC,CYXC,Cranbrook/Canadian Rockies International Airport - Cranbrook - Canada
ICAO,CYXD,CYXD,Edmonton City Centre (Blatchford Field) Airport - Edmonton - Canada
IATA,YXD,CYXD,Edmonton City Centre (Blatchford Field) Airport - Edmonton - Canada
ICAO,CYXE,CYXE,Saskatoon John G. Diefenbaker International Airport - Saskatoon - Canada
IATA,YXE,CYXE,Saskatoon John G. Diefenbaker International Airport - Saskatoon - Canada
ICAO,CYXH,CYXH,Medicine Hat Airport - Medicine Hat - Canada
IATA,YXH,CYXH,Medicine Hat Airport - Medicine Hat - Canada
ICAO,CYXJ,CYXJ,Fort St John Airport - Fort Saint John - Canada
IATA,YXJ,CYXJ,Fort St John Airport - Fort Saint John - Canada
ICAO,CYXL,CYXL,Sioux Lookout Airport - Sioux Lookout - Canada
IATA,YXL,CYXL,Sioux Lookout Airport - Sioux Lookout - Canada
ICAO,CYXP,CYXP,Pangnirtung Airport - Pangnirtung - Canada
IATA,YXP,CYXP,Pangnirtung Airport - Pangnirtung - Canada
ICAO,CYXR,CYXR,Earlton (Timiskaming Regional) Airport - Earlton - Canada
IATA,YXR,CYXR,Earlton (Timiskaming Regional) Airport - Earlton - Canada
ICAO,CYXS,CYXS,Prince George Airport - Prince George - Canada
IATA,YXS,CYXS,Prince George Airport - Prince George - Canada
ICAO,CYXT,CYXT,Northwest Regional Airport Terrace-Kitimat - Terrace - Canada
IATA,YXT,CYXT,Northwest Regional Airport Terrace-Kitimat - Terrace - Canada
ICAO,CYXU,CYXU,London Airport - London - Canada
IATA,YXU,CYXU,London Airport - London - Canada
ICAO,CYXX,CYXX,Abbotsford Airport - Abbotsford - Canada
IATA,YXX,CYXX,Abbotsford Airport - Abbotsford - Canada
ICAO,CYXY,CYXY,Whitehorse / Erik Nielsen International Airport - Whitehorse - Canada
IATA,YXY,CYXY,Whitehorse / Erik Nielsen International Airport - Whitehorse - Canada
ICAO,CYYB,CYYB,North Bay Jack Garland Airport - North Bay - Canada
IATA,YYB,CYYB,North Bay Jack Garland Airport - North Bay - Canada
ICAO,CYYC,CYYC,Calgary International Airport - Calgary - Canada
IATA,YYC,CYYC,Calgary International Airport - Calgary - Canada
ICAO,CYYD,CYYD,Smithers Airport - Smithers - Canada
IATA,YYD,CYYD,Smithers Airport - Smithers - Canada
ICAO,CYYE,CYYE,Fort Nelson Airport - Fort Nelson - Canada
IATA,YYE,CYYE,Fort Nelson Airport - Fort Nelson - Canada
ICAO,CYYF,CYYF,Penticton Airport - Penticton - Canada
IATA,YYF,CYYF,Penticton Airport - Penticton - Canada
ICAO,CYYG,CYYG,Charlottetown Airport - Charlottetown - Canada
IATA,YYG,CYYG,Charlottetown Airport - Charlottetown - Canada
ICAO,CYYH,CYYH,Taloyoak Airport - Spence Bay - Canada
IATA,YYH,CYYH,Taloyoak Airport - Spence Bay - Canada
ICAO,CYYJ,CYYJ,Victoria International Airport - Victoria - Canada
IATA,YYJ,CYYJ,Victoria International Airport - Victoria - Canada
ICAO,CYYL,CYYL,Lynn Lake Airport - Lynn Lake - Canada
IATA,YYL,CYYL,Lynn Lake Airport - Lynn Lake - Canada
ICAO,CYYN,CYYN,Swift Current Airport - Swift Current - Canada
IATA,YYN,CYYN,Swift Current Airport - Swift Current - Canada
ICAO,CYYQ,CYYQ,Churchill Airport - Churchill - Canada
IATA,YYQ,CYYQ,Churchill Airport - Churchill - Canada
ICAO,CYYR,CYYR,Goose Bay Airport - Goose Bay - Canada
IATA,YYR,CYYR,Goose Bay Airport - Goose Bay - Canada
ICAO,CYYT,CYYT,St. John's International Airport - St. John's - Canada
IATA,YYT,CYYT,St. John's International Airport - St. John's - Canada
ICAO,CYYU,CYYU,Kapuskasing Airport - Kapuskasing - Canada
IATA,YYU,CYYU,Kapuskasing Airport - Kapuskasing - Canada
ICAO,CYYW,CYYW,Armstrong Airport - Armstrong - Canada
IATA,YYW,CYYW,Armstrong Airport - Armstrong - Canada
ICAO,CYYY,CYYY,Mont Joli Airport - Mont Joli - Canada
IATA,YYY,CYYY,Mont Joli Airport - Mont Joli - Canada
